NAME1,HEX1,HEX1a,NAME2,HEX2,HEX2a,RATIO,CODE
Purple Heart,#7F50F2,#cb80ff,Orange White,#F6FAEA,#ffffff,4.6,AA
Black Rock,#050130,#08024d,Pomegranate,#EE2314,#ff3820,4.6,AA
Abbey,#545A60,#86909a,Cosmos,#FED6D6,#ffffff,5.3,AA
Royal Purple,#7040A7,#b366ff,Aquamarine,#85F3BE,#d5ffff,5.2,AA
Navy Blue,#07027C,#0b03c6,De York,#78CA88,#c0ffda,8.1,AAA
Clairvoyant,#3F084D,#650d7b,Clementine,#E66E08,#ffb00d,4.9,AA
Aubergine,#340212,#53031d,Reef Gold,#A5831F,#ffd232,5,AA
Black,#1B1C1F,#2b2d32,Apple,#09AA1B,#0eff2b,5.5,AA
Mulled Wine,#463F60,#70659a,Perfume,#D6BCED,#ffffff,5.7,AA
Jacaranda,#320A33,#501052,Chelsea Cucumber,#91AB5D,#e8ff95,6.7,AA
Kaitoke Green,#124924,#1d753a,Turbo,#EBE007,#ffff0b,7.6,AAA
Purple Heart,#5E1FB5,#9632ff,Cosmos,#F6CFD0,#ffffff,6.3,AA
Black,#030202,#050303,Red Violet,#C25197,#ff82f2,4.9,AA
Persian Blue,#0F31B7,#184eff,De York,#6EC58B,#b0ffde,4.7,AA
Midnight,#071E41,#0b3068,Green Mist,#D5D4AC,#ffffff,10.9,AAA
Woody Brown,#413135,#684e55,Electric Lime,#1BD203,#2bff05,6,AA
Blue Gem,#320B92,#5012ea,Pastel Green,#49D564,#75ffa0,6.9,AA
Jacksons Purple,#182196,#2635f0,Inch Worm,#97E868,#f2ffa6,8.3,AAA
Downriver,#0C2256,#13368a,Key Lime Pie,#BBC70F,#ffff18,8.2,AAA
Black Olive,#2C3314,#465220,Malachite,#46C63A,#70ff5d,5.9,AA
Wine Berry,#6A2037,#aa3358,Acapulco,#81BCA9,#ceffff,5.2,AA
Aubergine,#3B0B19,#5e1228,Apple,#5CBA41,#93ff68,6.9,AA
Revolver,#1C0C29,#2d1342,Flame Pea,#D5533E,#ff8563,4.5,AA
Violet Eggplant,#B624D2,#ff3aff,Black Squeeze,#F2FDFD,#ffffff,4.9,AA
Jaguar,#0B0312,#12051d,Electric Lime,#38E10A,#5aff10,11.5,AAA
Black Russian,#03001C,#05002d,Boston Blue,#479AB9,#72f6ff,6.5,AA
Dark Blue,#2E04C5,#4a06ff,Norway,#A6BD9D,#fffffb,5.4,AA
Electric Violet,#B101EA,#ff02ff,Snow Flurry,#DAFFD3,#ffffff,4.7,AA
Woodrush,#2C2C10,#46461a,Pirate Gold,#C38814,#ffda20,4.6,AA
Pompadour,#640C53,#a01385,Canary,#DDF153,#ffff85,9.8,AAA
Tamarind,#361618,#562326,Pink Flamingo,#DE4BDF,#ff78ff,4.8,AA
Elm,#207474,#33baba,Reef,#C3FFA6,#ffffff,4.8,AA
Black Rock,#09032E,#0e054a,Observatory,#108B70,#1adeb3,4.7,AA
Siren,#7A0535,#c30855,Lavender Rose,#F59BE0,#fff8ff,5.6,AA
Vesuvius,#B54C1D,#ff7a2e,Tea Green,#D2FCC9,#ffffff,4.6,AA
Seance,#5F268D,#983de2,Periwinkle Gray,#BDCBE5,#ffffff,6,AA
Cinder,#060913,#0a0e1e,Viridian,#4B8374,#78d2ba,4.5,AA
Steel Gray,#252335,#3b3855,Lochinvar,#249C96,#3afaf0,4.6,AA
Purple Heart,#8C51D9,#e082ff,Ottoman,#F0FCEF,#ffffff,4.6,AA
Black,#040405,#060608,Persian Rose,#E70692,#ff0aea,4.7,AA
Diesel,#12020A,#1d0310,Torch Red,#EE1028,#ff1a40,4.6,AA
